tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.108843 1.73977 -0.138294 0.0154688 -0.698514 0.00902165 0.715372 1.06792
hip -0.000674367 1.14081 0.00780845 0.777766 0.598795 0.0313176 0.188529 1.06792
lHand 0.127999 1.56548 -1.10029 0.219117 -0.0561762 -0.609893 0.759515 1.06792
lForeArm 0.0293059 1.57552 -0.734923 0.309657 0.599011 -0.487935 0.554273 1.06792
rHand 0.168257 1.64135 0.749999 0.529792 0.79002 -0.308376 0.00960407 1.06792
rForeArm 0.0630867 1.59659 0.412036 0.460465 0.563108 -0.38157 0.570338 1.06792
lFoot -0.0710528 0.0690101 -0.386676 0.0770101 0.20153 -0.833008 0.509464 1.06792
rFoot -0.0780712 0.0560235 0.0914705 0.846941 0.483905 0.0439419 0.215862 1.06792
head 0.108845 1.73972 -0.138188 0.0155545 -0.698531 0.00875126 0.715357 1.06792
hip -0.000705481 1.14082 0.00792766 0.77759 0.599077 0.0314511 0.188337 1.06792
lHand 0.127763 1.56556 -1.1003 0.219657 -0.0564924 -0.609304 0.759808 1.06792
lForeArm 0.0290875 1.57542 -0.734946 0.309996 0.59907 -0.487875 0.554072 1.06792
rHand 0.168399 1.64123 0.749763 0.528507 0.790763 -0.308688 0.00925 1.06792
rForeArm 0.0630935 1.59646 0.412184 0.460746 0.563653 -0.381688 0.569493 1.06792
lFoot -0.0711322 0.0688154 -0.386717 0.0772911 0.201662 -0.8329 0.509545 1.06792
rFoot -0.078068 0.0560821 0.0915649 0.846974 0.483863 0.043898 0.215836 1.06792
head 0.108755 1.73966 -0.138404 0.0155293 -0.698465 0.00855364 0.715424 1.06792
hip -0.000669003 1.14083 0.00783157 0.777506 0.599252 0.0316866 0.188089 1.06792
lHand 0.12765 1.56557 -1.1003 0.219843 -0.0567934 -0.609346 0.759698 1.06792
lForeArm 0.0289705 1.57536 -0.734908 0.309903 0.59939 -0.487687 0.553943 1.06792
rHand 0.168563 1.64111 0.749006 0.527374 0.790929 -0.310193 0.0093764 1.06792
rForeArm 0.0631065 1.59629 0.412372 0.460713 0.564408 -0.38125 0.569066 1.06792
lFoot -0.071053 0.0688111 -0.386602 0.0773415 0.201637 -0.832955 0.509457 1.06792
rFoot -0.078065 0.0561382 0.091655 0.847005 0.483823 0.043856 0.21581 1.06792
head 0.108726 1.73961 -0.138326 0.0154367 -0.698469 0.00831916 0.715426 1.06792
hip -0.000704288 1.1407 0.00795913 0.777453 0.599307 0.0317526 0.188121 1.06792
lHand 0.12741 1.56561 -1.10032 0.220153 -0.0567301 -0.609519 0.759474 1.06792
lForeArm 0.0287696 1.57539 -0.734934 0.309392 0.599526 -0.487775 0.554004 1.06792
rHand 0.169069 1.64096 0.748345 0.527524 0.789838 -0.312703 0.00954805 1.06792
rForeArm 0.0630249 1.59614 0.412516 0.459741 0.565212 -0.381424 0.568937 1.06792
lFoot -0.0711452 0.0690821 -0.386611 0.077056 0.201599 -0.832996 0.509449 1.06792
rFoot -0.0780623 0.0561855 0.0917311 0.847032 0.483789 0.0438207 0.215789 1.06792
head 0.108709 1.73957 -0.138202 0.0153411 -0.698415 0.00838206 0.71548 1.06792
