tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.0565106 1.69776 -0.0329356 0.0854042 -0.691347 0.0638644 0.714609 1.04192
hip -0.0282376 1.02119 0.139691 0.76373 0.630341 0.0213567 0.137587 1.04192
lHand 0.0123119 1.43546 -0.959129 0.233475 -0.0535061 -0.553241 0.797841 1.04192
lForeArm -0.0346479 1.47753 -0.603642 0.443395 0.456525 -0.48367 0.600874 1.04192
rHand -0.0829005 1.49813 0.904112 0.669521 0.728337 -0.127378 0.0710078 1.04192
rForeArm -0.0707471 1.51046 0.534799 0.492756 0.547076 -0.420216 0.530394 1.04192
lFoot -0.0460311 0.00974739 -0.195111 0.114739 0.103168 -0.81567 0.557561 1.04192
rFoot -0.0611873 -0.00279486 0.16605 0.810084 0.56262 0.0176703 0.164042 1.04192
head 0.0562534 1.69774 -0.032918 0.0853862 -0.691398 0.0639384 0.714556 1.04192
hip -0.0282192 1.02121 0.139766 0.763618 0.630445 0.0218127 0.137659 1.04192
lHand 0.0123597 1.43537 -0.958869 0.233952 -0.0538138 -0.553105 0.797775 1.04192
lForeArm -0.0348169 1.47734 -0.603565 0.443275 0.456731 -0.484149 0.600419 1.04192
rHand -0.0828155 1.49848 0.90425 0.668211 0.729277 -0.128434 0.071791 1.04192
rForeArm -0.0710125 1.51049 0.534791 0.491936 0.547537 -0.420007 0.530845 1.04192
lFoot -0.0460339 0.0099088 -0.195187 0.114659 0.103145 -0.815665 0.557589 1.04192
rFoot -0.0612044 -0.00273418 0.166023 0.810051 0.562693 0.0175849 0.163966 1.04192
head 0.0560813 1.69778 -0.0327485 0.0854888 -0.691581 0.0638742 0.714372 1.04192
hip -0.0281445 1.02118 0.139806 0.763496 0.630579 0.0218543 0.137715 1.04192
lHand 0.0124669 1.43546 -0.958272 0.235705 -0.0546371 -0.552978 0.797291 1.04192
lForeArm -0.0349777 1.47709 -0.603379 0.443656 0.455967 -0.484857 0.600147 1.04192
rHand -0.0829155 1.49876 0.904322 0.667632 0.729641 -0.128997 0.072463 1.04192
rForeArm -0.0712258 1.51044 0.534893 0.490851 0.54848 -0.418652 0.531945 1.04192
lFoot -0.0460196 0.00990689 -0.19505 0.114398 0.103071 -0.815859 0.557372 1.04192
rFoot -0.0612125 -0.00272954 0.166013 0.810133 0.562604 0.017528 0.163872 1.04192
head 0.0557485 1.69773 -0.0327139 0.0855499 -0.691655 0.0639397 0.714287 1.04192
hip -0.0282943 1.02119 0.140094 0.763351 0.630726 0.0213912 0.137918 1.04192
