tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.0980978 1.6895 0.0190854 0.0392073 -0.702471 0.0396634 0.709524 1.04465
hip -0.00565505 1.05119 0.180802 0.615621 0.761287 -0.0841715 0.185387 1.04465
lHand 0.0424061 1.49893 -0.934349 0.124525 0.0183772 -0.678112 0.724099 1.04465
lForeArm 0.000620604 1.53562 -0.541752 0.451607 0.506348 -0.395641 0.618976 1.04465
rHand -0.00472867 1.51042 0.942018 0.670032 0.735285 -0.0878557 0.0519132 1.04465
rForeArm -0.0114695 1.54037 0.569453 0.447204 0.563888 -0.419455 0.553259 1.04465
lFoot -0.0059489 0.0137842 -0.190389 0.202703 0.11144 -0.812436 0.535201 1.04465
rFoot -0.0594763 -0.0060389 0.163047 0.840001 0.508508 0.0324955 0.186445 1.04465
head 0.0982738 1.68944 0.0194042 0.0390096 -0.70273 0.0393083 0.709298 1.04465
hip -0.00592768 1.05117 0.180742 0.615657 0.761273 -0.084019 0.185392 1.04465
lHand 0.0439225 1.49943 -0.93294 0.12998 0.015362 -0.678366 0.722973 1.04465
lForeArm 0.000878572 1.53546 -0.541624 0.451988 0.506385 -0.395661 0.618654 1.04465
rHand -0.00490832 1.51054 0.942122 0.669561 0.735777 -0.0874509 0.0517045 1.04465
rForeArm -0.0117168 1.54037 0.569472 0.446047 0.564506 -0.418271 0.554459 1.04465
lFoot -0.00591588 0.0137006 -0.19119 0.201793 0.110153 -0.813017 0.53493 1.04465
rFoot -0.0594679 -0.00605822 0.163042 0.840081 0.508462 0.032218 0.186259 1.04465
head 0.0983951 1.6894 0.0196016 0.0389408 -0.70301 0.0388734 0.709048 1.04465
hip -0.00608754 1.05122 0.180748 0.615663 0.761228 -0.0836469 0.185727 1.04465
lHand 0.0408461 1.50023 -0.933808 0.124828 0.0252435 -0.680594 0.721507 1.04465
lForeArm 0.000966668 1.53544 -0.54142 0.453286 0.50666 -0.3968 0.616747 1.04465
rHand -0.00522256 1.51042 0.942017 0.669352 0.736039 -0.0871775 0.0511371 1.04465
rForeArm -0.0120158 1.54029 0.569355 0.445585 0.564531 -0.417915 0.555073 1.04465
lFoot -0.00578368 0.0136827 -0.191188 0.202581 0.109542 -0.813261 0.534386 1.04465
rFoot -0.0595231 -0.0061419 0.162954 0.840159 0.508356 0.0320362 0.186228 1.04465
head 0.0982471 1.6893 0.0195944 0.0389797 -0.703231 0.0384929 0.708847 1.04465
hip -0.00673759 1.05114 0.18047 0.615656 0.76127 -0.0829284 0.1859 1.04465
lHand 0.0402141 1.50019 -0.93371 0.124189 0.0257933 -0.681698 0.720555 1.04465
lForeArm 0.000818729 1.53563 -0.541327 0.454672 0.505671 -0.397085 0.616356 1.04465
rHand -0.00549519 1.51053 0.942322 0.669365 0.736082 -0.0870857 0.0504976 1.04465
rForeArm -0.0121443 1.54032 0.56949 0.445969 0.563757 -0.418861 0.554839 1.04465
lFoot -0.00599027 0.0134056 -0.191617 0.202308 0.108694 -0.81365 0.53407 1.04465
rFoot -0.0596783 -0.00609457 0.163047 0.840249 0.508256 0.0319097 0.186117 1.04465
head 0.0984859 1.68919 0.0200663 0.0388093 -0.703466 0.0379383 0.708654 1.04465
hip -0.00690484 1.05123 0.180693 0.615932 0.761066 -0.0824324 0.186039 1.04465
