tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head -0.105047 1.73329 0.134644 0.0881173 -0.702905 0.072486 0.702073 1.04363
hip -0.210917 1.05972 0.282288 0.564419 0.799696 0.0276747 0.202856 1.04363
lHand -0.165914 1.51791 -0.824504 0.0915651 0.00149505 -0.646562 0.757345 1.04363
lForeArm -0.214457 1.55309 -0.432416 0.434159 0.539129 -0.392894 0.605376 1.04363
rHand -0.253798 1.53221 1.05457 0.606503 0.783181 -0.0962968 0.0975129 1.04363
rForeArm -0.232131 1.54919 0.668431 0.445599 0.559732 -0.419924 0.558395 1.04363
lFoot -0.201395 0.0619127 -0.128506 0.115997 0.0894885 -0.837575 0.526313 1.04363
rFoot -0.201163 0.0272584 0.284309 0.817359 0.565431 0.0208244 0.108533 1.04363
head -0.104919 1.73317 0.134795 0.0873284 -0.703126 0.0717542 0.702025 1.04363
hip -0.210944 1.05976 0.282203 0.563967 0.799944 0.0278957 0.203108 1.04363
lHand -0.166052 1.51896 -0.82481 0.0933768 0.00232895 -0.645679 0.757874 1.04363
lForeArm -0.214756 1.55334 -0.432842 0.433757 0.539692 -0.392385 0.605493 1.04363
rHand -0.255235 1.53287 1.05399 0.606354 0.782683 -0.0927519 0.105544 1.04363
rForeArm -0.232031 1.54953 0.668057 0.443243 0.560834 -0.418875 0.559951 1.04363
lFoot -0.200929 0.0616516 -0.128337 0.115962 0.0896024 -0.837737 0.526043 1.04363
rFoot -0.201176 0.0272878 0.284222 0.817384 0.56545 0.0209328 0.108214 1.04363
head -0.104977 1.73303 0.134669 0.0864053 -0.703288 0.0708497 0.702068 1.04363
hip -0.211114 1.05962 0.28188 0.563356 0.800288 0.0283177 0.203389 1.04363
lHand -0.166162 1.52001 -0.825015 0.0950143 0.00309539 -0.647087 0.756466 1.04363
lForeArm -0.214936 1.55364 -0.433003 0.433686 0.540099 -0.392072 0.605383 1.04363
rHand -0.251957 1.53293 1.05319 0.602905 0.785722 -0.0992955 0.0963651 1.04363
rForeArm -0.232087 1.5499 0.667789 0.441291 0.560902 -0.419033 0.561304 1.04363
lFoot -0.201476 0.0626777 -0.129079 0.11667 0.0897258 -0.837754 0.525838 1.04363
rFoot -0.201061 0.0273662 0.284346 0.817416 0.565503 0.020978 0.107691 1.04363
head -0.105316 1.73284 0.134314 0.085223 -0.703459 0.070277 0.702099 1.04363
hip -0.211209 1.05965 0.281781 0.563504 0.800376 0.0278909 0.202693 1.04363
lHand -0.166271 1.52087 -0.825262 0.0956923 0.00330042 -0.649453 0.75435 1.04363
lForeArm -0.215016 1.55386 -0.433255 0.434719 0.539611 -0.392474 0.604818 1.04363
rHand -0.250134 1.53281 1.05277 0.603642 0.785458 -0.100473 0.0926136 1.04363
rForeArm -0.23223 1.55023 0.66763 0.439486 0.561336 -0.419462 0.561966 1.04363
lFoot -0.201193 0.062232 -0.128594 0.117045 0.0895465 -0.838106 0.525224 1.04363
rFoot -0.201244 0.0273297 0.284548 0.817418 0.565565 0.0211812 0.107304 1.04363
head -0.105225 1.73274 0.134399 0.0844853 -0.703673 0.0695021 0.702051 1.04363
hip -0.211223 1.05954 0.2817 0.563454 0.800453 0.0279296 0.202521 1.04363
lHand -0.166409 1.52153 -0.825411 0.0963606 0.00391958 -0.649899 0.753877 1.04363
lForeArm -0.215124 1.55392 -0.433362 0.435367 0.539528 -0.392349 0.604506 1.04363
rHand -0.24872 1.53213 1.05312 0.604985 0.784813 -0.0995947 0.0902356 1.04363
rForeArm -0.232312 1.55043 0.667405 0.438129 0.561597 -0.419767 0.562537 1.04363
lFoot -0.200917 0.0619082 -0.128207 0.117397 0.0895027 -0.83822 0.52497 1.04363
rFoot -0.20123 0.0271686 0.284632 0.817435 0.565603 0.0213424 0.106946 1.04363
head -0.105258 1.73269 0.134243 0.0837786 -0.703921 0.0689946 0.701937 1.04363
hip -0.211642 1.05923 0.281028 0.563448 0.800363 0.0282109 0.202856 1.04363
lHand -0.166696 1.5227 -0.825789 0.0972329 0.00567332 -0.649208 0.754349 1.04363
lForeArm -0.215324 1.55411 -0.433631 0.435437 0.540152 -0.391644 0.604355 1.04363
rHand -0.247227 1.5312 1.05314 0.606658 0.784183 -0.098194 0.0859193 1.04363
rForeArm -0.232359 1.55071 0.667307 0.437661 0.562682 -0.420095 0.561571 1.04363
lFoot -0.200611 0.0615524 -0.127802 0.117894 0.0895202 -0.838464 0.524467 1.04363
rFoot -0.201274 0.0270692 0.28458 0.817324 0.565815 0.0214246 0.106658 1.04363
head -0.105413 1.73262 0.13387 0.0832825 -0.704131 0.0685273 0.701831 1.04363
hip -0.21179 1.05926 0.280864 0.563442 0.800465 0.0282107 0.202469 1.04363
lHand -0.166935 1.52388 -0.826107 0.0981257 0.00765839 -0.648165 0.755113 1.04363
lForeArm -0.215403 1.55424 -0.433886 0.435199 0.540495 -0.391096 0.604575 1.04363
rHand -0.245523 1.5302 1.05268 0.607702 0.784011 -0.0974184 0.0808354 1.04363
rForeArm -0.23225 1.55086 0.667263 0.437031 0.563641 -0.420199 0.561022 1.04363
lFoot -0.200091 0.0608366 -0.127097 0.117853 0.0892584 -0.838761 0.524046 1.04363
