tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.0785905 1.69374 -0.0174835 0.0769983 -0.687845 0.0614742 0.719139 1.04843
hip 0.0064559 1.01781 0.16347 0.731708 0.668416 0.00859274 0.133225 1.04843
lHand -0.026675 1.45006 -0.950425 0.140583 0.0356107 -0.571248 0.807864 1.04843
lForeArm -0.0356209 1.49434 -0.574212 0.448595 0.480675 -0.485859 0.575895 1.04843
rHand -0.0326486 1.54326 0.928554 0.653823 0.745268 -0.093287 0.0915859 1.04843
rForeArm -0.0161202 1.54691 0.554047 0.464206 0.544416 -0.446573 0.537306 1.04843
lFoot -0.00907874 0.0121834 -0.178407 0.113433 0.10667 -0.818518 0.552976 1.04843
rFoot -0.0433134 -0.00556934 0.198084 0.815577 0.556666 0.00195313 0.157966 1.04843
head 0.0783546 1.69379 -0.0174389 0.0771734 -0.687876 0.0615418 0.719085 1.04843
hip 0.00649786 1.0177 0.163528 0.73132 0.668786 0.00877634 0.133491 1.04843
lHand -0.0264251 1.44915 -0.949833 0.141047 0.0336799 -0.570015 0.808736 1.04843
lForeArm -0.0356313 1.49393 -0.574285 0.448658 0.480012 -0.486657 0.575725 1.04843
rHand -0.0331409 1.54289 0.928519 0.653277 0.745913 -0.0924483 0.0910852 1.04843
rForeArm -0.0165519 1.54681 0.553969 0.463056 0.54528 -0.445601 0.538227 1.04843
lFoot -0.00909507 0.012302 -0.178496 0.113408 0.106637 -0.818455 0.553081 1.04843
rFoot -0.0433134 -0.00555873 0.198059 0.815737 0.556558 0.00159628 0.157526 1.04843
head 0.0780742 1.69379 -0.0174572 0.0773531 -0.68776 0.0617161 0.719162 1.04843
hip 0.00643051 1.01758 0.163463 0.7309 0.669202 0.00894868 0.133692 1.04843
lHand -0.0228963 1.44786 -0.948721 0.148282 0.0231351 -0.578888 0.801478 1.04843
lForeArm -0.0357349 1.49352 -0.574378 0.448605 0.480173 -0.486418 0.575835 1.04843
rHand -0.0336243 1.54253 0.928496 0.652592 0.746622 -0.091659 0.0909825 1.04843
rForeArm -0.0169557 1.54667 0.553785 0.461923 0.545867 -0.444889 0.539194 1.04843
lFoot -0.00907731 0.0122422 -0.178511 0.113422 0.106631 -0.818516 0.552989 1.04843
rFoot -0.0432954 -0.00561082 0.198034 0.815816 0.556528 0.00132602 0.157225 1.04843
head 0.0778095 1.6938 -0.0175407 0.0777166 -0.687844 0.0616968 0.719044 1.04843
hip 0.00642264 1.01753 0.163528 0.730547 0.669512 0.00899353 0.134067 1.04843
lHand -0.0247841 1.44667 -0.949033 0.141467 0.0289973 -0.581436 0.800674 1.04843
lForeArm -0.0358375 1.49318 -0.574281 0.447704 0.480716 -0.485758 0.576639 1.04843
rHand -0.0340292 1.54213 0.928445 0.651335 0.747815 -0.0912944 0.0905596 1.04843
rForeArm -0.0173016 1.54656 0.553769 0.46163 0.546138 -0.444333 0.539629 1.04843
lFoot -0.00904155 0.0122296 -0.178445 0.11345 0.106469 -0.818561 0.552948 1.04843
rFoot -0.0433241 -0.00561917 0.198051 0.815889 0.556432 0.00120225 0.157183 1.04843
head 0.0776067 1.69384 -0.0174837 0.0780755 -0.687938 0.0616332 0.71892 1.04843
hip 0.00641167 1.01753 0.16354 0.730146 0.669878 0.00890695 0.134426 1.04843
lHand -0.0246818 1.44535 -0.949277 0.140353 0.0273726 -0.58709 0.796792 1.04843
lForeArm -0.0360491 1.49294 -0.574374 0.446561 0.481636 -0.484642 0.577696 1.04843
rHand -0.0345159 1.54186 0.928423 0.650051 0.748941 -0.0911531 0.0906189 1.04843
rForeArm -0.0176406 1.54644 0.553684 0.461252 0.546628 -0.443466 0.540169 1.04843
lFoot -0.00906551 0.0123825 -0.178534 0.113411 0.106495 -0.818536 0.552988 1.04843
rFoot -0.0433674 -0.00552356 0.197939 0.815935 0.55638 0.00109863 0.157134 1.04843
head 0.0773659 1.69386 -0.0175178 0.078438 -0.688094 0.0615446 0.718739 1.04843
hip 0.00650787 1.01763 0.163736 0.72969 0.670247 0.00870131 0.135074 1.04843
lHand -0.0242815 1.44405 -0.949106 0.140144 0.0245922 -0.590673 0.794267 1.04843
lForeArm -0.0361776 1.49256 -0.574576 0.445692 0.481572 -0.484353 0.578662 1.04843
rHand -0.0349237 1.54153 0.928458 0.64955 0.74941 -0.0907891 0.0906975 1.04843
rForeArm -0.0178292 1.54648 0.553813 0.461358 0.546954 -0.44265 0.540417 1.04843
lFoot -0.00910735 0.0123143 -0.178458 0.113507 0.106565 -0.818549 0.552936 1.04843
rFoot -0.0432942 -0.00544798 0.198038 0.815936 0.556415 0.000913491 0.157002 1.04843
head 0.0771161 1.6939 -0.017565 0.0787832 -0.688254 0.0614567 0.718556 1.04843
hip 0.00658739 1.01762 0.163764 0.729158 0.670675 0.00878906 0.135817 1.04843
lHand -0.0242085 1.44301 -0.949069 0.138634 0.0232011 -0.592713 0.793054 1.04843
lForeArm -0.035974 1.49216 -0.574757 0.444918 0.480939 -0.484906 0.579319 1.04843
rHand -0.0353929 1.54116 0.928542 0.649875 0.749239 -0.089925 0.0906475 1.04843
rForeArm -0.0179418 1.54636 0.553833 0.461921 0.547004 -0.442435 0.540062 1.04843
lFoot -0.00912023 0.0123209 -0.178395 0.113588 0.106572 -0.818637 0.552787 1.04843
rFoot -0.043395 -0.00542724 0.198097 0.816006 0.556326 0.000809723 0.156953 1.04843
head 0.0770035 1.69397 -0.0173955 0.0791342 -0.688549 0.061625 0.71822 1.04843
hip 0.00657582 1.01766 0.163817 0.728758 0.671018 0.00893284 0.136257 1.04843
lHand -0.0245154 1.44194 -0.949251 0.136635 0.0224914 -0.593622 0.792741 1.04843
lForeArm -0.0358658 1.4919 -0.574928 0.445631 0.479708 -0.486114 0.57878 1.04843
rHand -0.0357522 1.5406 0.928505 0.651454 0.748073 -0.0888076 0.0900397 1.04843
rForeArm -0.0181184 1.54623 0.553743 0.462764 0.546527 -0.443184 0.539208 1.04843
lFoot -0.00916588 0.0125244 -0.178504 0.113552 0.106468 -0.818507 0.553006 1.04843
rFoot -0.0434115 -0.0054096 0.198065 0.815931 0.556494 0.000657369 0.15675 1.04843
head 0.0767915 1.69398 -0.0174279 0.0793916 -0.688868 0.0617415 0.717876 1.04843
hip 0.00654399 1.01762 0.163815 0.728347 0.671373 0.00904804 0.136703 1.04843
lHand -0.0247431 1.44091 -0.949381 0.134674 0.0217826 -0.593407 0.793257 1.04843
lForeArm -0.0357213 1.49167 -0.574931 0.446889 0.478656 -0.487263 0.577714 1.04843
rHand -0.0359244 1.54026 0.928522 0.651356 0.748245 -0.0884617 0.0896617 1.04843
rForeArm -0.0183218 1.54607 0.553567 0.463368 0.545983 -0.443771 0.538759 1.04843
lFoot -0.00914764 0.0124941 -0.178509 0.113577 0.106404 -0.818622 0.552844 1.04843
rFoot -0.0433676 -0.00538266 0.198105 0.816066 0.556363 0.0005179 0.156512 1.04843
head 0.0765077 1.69398 -0.0174911 0.0795401 -0.689216 0.0619158 0.71751 1.04843
hip 0.00647521 1.01762 0.163847 0.728154 0.671524 0.00873805 0.137003 1.04843
lHand -0.0251778 1.44015 -0.949581 0.132717 0.0218096 -0.59174 0.79483 1.04843
lForeArm -0.0356338 1.49147 -0.574957 0.447472 0.477974 -0.488012 0.577196 1.04843
rHand -0.0361545 1.54017 0.928506 0.650436 0.749003 -0.0889026 0.0895753 1.04843
rForeArm -0.018563 1.54605 0.553831 0.46344 0.545794 -0.443802 0.538862 1.04843
lFoot -0.00913608 0.0125103 -0.178473 0.113801 0.106387 -0.818607 0.552823 1.04843
rFoot -0.0434859 -0.00539052 0.198203 0.816126 0.556353 0.000422864 0.156237 1.04843
head 0.0763882 1.69391 -0.0173221 0.079782 -0.689427 0.0620037 0.717273 1.04843
hip 0.00654769 1.01737 0.164039 0.728047 0.671599 0.00860834 0.137219 1.04843
lHand -0.0261188 1.44009 -0.949913 0.13125 0.024304 -0.585664 0.799487 1.04843
lForeArm -0.0355228 1.49091 -0.574873 0.447544 0.477652 -0.488555 0.576946 1.04843
rHand -0.0363512 1.53993 0.928633 0.649545 0.749684 -0.0894572 0.0897898 1.04843
rForeArm -0.01881 1.54572 0.553915 0.462791 0.546217 -0.443074 0.539589 1.04843
lFoot -0.00902915 0.0124516 -0.178378 0.113904 0.106344 -0.818735 0.552621 1.04843
rFoot -0.0433452 -0.00560558 0.198456 0.816234 0.556262 0.000272958 0.155996 1.04843
head 0.0762632 1.69397 -0.0171559 0.0799755 -0.68979 0.0621033 0.716894 1.04843
hip 0.00653052 1.01736 0.164104 0.72781 0.671813 0.00870987 0.137419 1.04843
lHand -0.0266914 1.44 -0.949948 0.131378 0.0269397 -0.580969 0.802801 1.04843
lForeArm -0.0355818 1.49056 -0.574818 0.447026 0.477215 -0.488922 0.577398 1.04843
rHand -0.0366609 1.53978 0.928641 0.649284 0.749871 -0.0894943 0.0900851 1.04843
rForeArm -0.0192252 1.54557 0.553893 0.462438 0.546726 -0.442339 0.539979 1.04843
lFoot -0.00906527 0.0123509 -0.178405 0.11397 0.10628 -0.818782 0.55255 1.04843
rFoot -0.0434563 -0.00574589 0.198376 0.816308 0.556237 0.00012207 0.1557 1.04843
