tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.179615 1.70595 -0.152308 0.0160396 -0.688736 -0.0607878 0.722281 1.07077
hip 0.0103117 1.03448 -0.0118263 -0.702958 -0.706041 0.0794268 0.0323578 1.07077
lHand -0.0297897 1.41367 -1.12574 0.0955356 0.00421629 -0.618387 0.780033 1.07077
lForeArm -0.0201746 1.48421 -0.744492 0.444078 0.420571 -0.601105 0.51438 1.07077
rHand -0.0602331 1.44222 0.755338 0.601554 0.773355 -0.0851729 0.181109 1.07077
rForeArm -0.0196524 1.47744 0.384026 0.586191 0.488766 -0.249312 0.596096 1.07077
lFoot -0.0241718 0.0860918 -0.322808 0.0174244 0.1524 -0.819706 0.551863 1.07077
rFoot -0.0634576 0.0386971 0.0217888 0.844025 0.514841 -0.0382068 0.145262 1.07077
head 0.179984 1.70612 -0.15291 0.0165993 -0.688616 -0.0604655 0.72241 1.07077
hip 0.010148 1.03444 -0.0122468 -0.703146 -0.705879 0.0792075 0.0323549 1.07077
lHand -0.0289493 1.41404 -1.12615 0.096034 0.00535025 -0.616599 0.78138 1.07077
lForeArm -0.0192115 1.48414 -0.744832 0.445517 0.419349 -0.601607 0.513547 1.07077
rHand -0.0589147 1.44148 0.755141 0.604348 0.772046 -0.0850602 0.177405 1.07077
rForeArm -0.0192211 1.47747 0.38348 0.586964 0.48801 -0.25053 0.595445 1.07077
lFoot -0.0239754 0.0861665 -0.322698 0.0202519 0.150874 -0.820776 0.550594 1.07077
rFoot -0.0633328 0.0389372 0.0219381 0.84389 0.515128 -0.038119 0.145049 1.07077
head 0.180318 1.7062 -0.153569 0.0171349 -0.688533 -0.0598562 0.722528 1.07077
hip 0.00960994 1.03423 -0.0130272 -0.703402 -0.705634 0.0791471 0.03227 1.07077
lHand -0.0282888 1.41426 -1.12677 0.0966629 0.0062602 -0.615239 0.782367 1.07077
lForeArm -0.0185544 1.48394 -0.745376 0.445968 0.419076 -0.60171 0.513257 1.07077
rHand -0.0579047 1.44094 0.754711 0.606366 0.77101 -0.0855273 0.174783 1.07077
rForeArm -0.0189216 1.4773 0.38286 0.587653 0.487074 -0.252247 0.594806 1.07077
lFoot -0.0239942 0.0861727 -0.322695 0.0202831 0.150793 -0.820995 0.550288 1.07077
rFoot -0.0637127 0.038916 0.0220859 0.843829 0.515218 -0.0381426 0.145082 1.07077
head 0.180761 1.70638 -0.154144 0.0174938 -0.688424 -0.0593113 0.722668 1.07077
hip 0.00958037 1.03434 -0.013355 -0.703593 -0.705475 0.0789206 0.0321576 1.07077
lHand -0.0274653 1.41424 -1.1273 0.097967 0.0068403 -0.614545 0.782745 1.07077
lForeArm -0.0179152 1.48369 -0.746019 0.44583 0.419163 -0.601452 0.513609 1.07077
rHand -0.0570017 1.44056 0.754104 0.606764 0.770947 -0.0864349 0.173225 1.07077
rForeArm -0.0187186 1.47724 0.382097 0.58849 0.486127 -0.253458 0.594238 1.07077
lFoot -0.0241282 0.0864068 -0.322726 0.0201412 0.150487 -0.821451 0.549696 1.07077
rFoot -0.0636097 0.038745 0.0219791 0.843766 0.515248 -0.0382772 0.145307 1.07077
head 0.181393 1.70657 -0.154873 0.0182914 -0.68851 -0.0586732 0.722618 1.07077
hip 0.00951314 1.03435 -0.0138669 -0.7039 -0.705219 0.0785138 0.0320578 1.07077
lHand -0.0263731 1.41392 -1.12768 0.0990402 0.00658614 -0.615728 0.781682 1.07077
lForeArm -0.0170754 1.48348 -0.746612 0.445306 0.419412 -0.601318 0.514016 1.07077
rHand -0.0558672 1.44043 0.753389 0.608386 0.769527 -0.0884753 0.172817 1.07077
rForeArm -0.0185064 1.47709 0.381482 0.589378 0.485164 -0.254562 0.593673 1.07077
lFoot -0.0239451 0.0863849 -0.322785 0.0207372 0.150098 -0.821836 0.549206 1.07077
rFoot -0.0635459 0.0387799 0.0218933 0.843659 0.515396 -0.0382102 0.145416 1.07077
head 0.181954 1.70672 -0.155575 0.0187452 -0.688374 -0.0582416 0.722771 1.07077
hip 0.00944567 1.03437 -0.0143318 -0.70411 -0.705031 0.0782511 0.032206 1.07077
lHand -0.0253594 1.4137 -1.1282 0.0994676 0.00673824 -0.615876 0.78151 1.07077
lForeArm -0.0160934 1.4831 -0.74712 0.445046 0.419013 -0.601559 0.514285 1.07077
rHand -0.0550973 1.44009 0.752659 0.609512 0.768747 -0.0893709 0.171857 1.07077
rForeArm -0.0182563 1.47693 0.380788 0.589796 0.48508 -0.254651 0.593288 1.07077
lFoot -0.0237482 0.0864643 -0.322741 0.0215978 0.149649 -0.822302 0.548597 1.07077
rFoot -0.0636601 0.0387392 0.0218351 0.84353 0.515593 -0.0384682 0.1454 1.07077
head 0.182646 1.70684 -0.156294 0.0193617 -0.68846 -0.0576954 0.722717 1.07077
hip 0.00950873 1.03431 -0.0147233 -0.704294 -0.704849 0.0778413 0.0331569 1.07077
lHand -0.0244539 1.41292 -1.12866 0.0993226 0.00617874 -0.617432 0.780304 1.07077
lForeArm -0.0152888 1.48266 -0.747633 0.445495 0.418068 -0.602063 0.514075 1.07077
rHand -0.0548388 1.43964 0.751933 0.610446 0.768325 -0.0889035 0.170671 1.07077
rForeArm -0.018083 1.47676 0.380057 0.589772 0.485448 -0.253937 0.593317 1.07077
lFoot -0.0237682 0.0867497 -0.322682 0.0218537 0.149368 -0.823038 0.547559 1.07077
rFoot -0.0636928 0.0387623 0.0216639 0.843399 0.51576 -0.0386828 0.14551 1.07077
head 0.183338 1.70697 -0.157163 0.0197531 -0.688534 -0.0573564 0.722662 1.07077
hip 0.00953972 1.03422 -0.0152016 -0.704627 -0.704433 0.07787 0.034814 1.07077
lHand -0.0234945 1.41198 -1.12923 0.0990844 0.00534328 -0.618476 0.779513 1.07077
lForeArm -0.0144869 1.4822 -0.748253 0.446098 0.417306 -0.602601 0.513541 1.07077
rHand -0.0547132 1.43877 0.751434 0.612261 0.767286 -0.0873238 0.169658 1.07077
rForeArm -0.0177979 1.47655 0.379341 0.589108 0.486373 -0.251847 0.594109 1.07077
lFoot -0.0238109 0.0864416 -0.322947 0.0226005 0.149417 -0.823895 0.546224 1.07077
rFoot -0.0635374 0.0388707 0.0215724 0.843406 0.51574 -0.0389314 0.145473 1.07077
head 0.184018 1.70702 -0.157936 0.0201338 -0.688442 -0.0568803 0.722777 1.07077
hip 0.00931132 1.03409 -0.0157685 -0.704977 -0.703921 0.0787303 0.0360957 1.07077
lHand -0.0225103 1.41099 -1.12981 0.0990588 0.00453635 -0.6184 0.779582 1.07077
lForeArm -0.013783 1.48178 -0.748907 0.446468 0.416529 -0.603086 0.51328 1.07077
rHand -0.0547395 1.43814 0.750967 0.613554 0.766505 -0.0860784 0.16915 1.07077
rForeArm -0.0174022 1.47636 0.378733 0.589581 0.486048 -0.251483 0.594061 1.07077
lFoot -0.0236845 0.0865195 -0.322858 0.0231985 0.148987 -0.824747 0.545029 1.07077
rFoot -0.0639468 0.0388777 0.0217128 0.84338 0.515778 -0.0390029 0.14547 1.07077
head 0.184894 1.70702 -0.158659 0.0202747 -0.68854 -0.0561158 0.72274 1.07077
hip 0.0094986 1.03398 -0.016284 -0.705621 -0.703054 0.0799765 0.0376594 1.07077
lHand -0.0216814 1.40984 -1.13036 0.0985424 0.00360469 -0.618253 0.779769 1.07077
lForeArm -0.0128032 1.48125 -0.749753 0.445937 0.415047 -0.604633 0.513124 1.07077
rHand -0.0549688 1.43776 0.750076 0.613 0.766947 -0.0851022 0.169649 1.07077
rForeArm -0.0168028 1.47619 0.377945 0.591181 0.484484 -0.252521 0.593307 1.07077
lFoot -0.0235475 0.0868121 -0.322858 0.0237159 0.148247 -0.826097 0.543161 1.07077
rFoot -0.0638609 0.0387788 0.0215962 0.843389 0.515728 -0.0392486 0.145527 1.07077
head 0.18576 1.70701 -0.159468 0.0204337 -0.688602 -0.0555117 0.722723 1.07077
hip 0.00955033 1.03382 -0.0170538 -0.70641 -0.702171 0.0800584 0.0391305 1.07077
lHand -0.0209434 1.40848 -1.13103 0.0973798 0.00220065 -0.619146 0.779212 1.07077
lForeArm -0.011976 1.48068 -0.750574 0.446239 0.41404 -0.605435 0.512728 1.07077
