tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.0820258 1.74424 -0.0939698 0.0275896 -0.675846 0.021136 0.736223 1.06792
hip -0.0514615 1.10059 0.0666494 0.742401 0.647937 0.0680517 0.156163 1.06792
lHand -0.030093 1.58326 -1.02538 0.236888 -0.0502352 -0.631965 0.736193 1.06792
lForeArm -0.0865784 1.59225 -0.677069 0.268704 0.644187 -0.494599 0.517873 1.06792
rHand 0.0806299 1.49627 0.811193 -0.583812 -0.773942 0.193606 0.150645 1.06792
rForeArm -0.0184447 1.53989 0.442587 0.576346 0.488729 -0.393018 0.523933 1.06792
lFoot -0.0841717 0.0703465 -0.244078 0.112011 0.134826 -0.841202 0.511521 1.06792
rFoot -0.0871252 0.0447677 0.0159817 0.841138 0.529378 -0.00198341 0.110639 1.06792
head 0.0822023 1.74428 -0.0937414 0.0278922 -0.675954 0.0213721 0.736106 1.06792
hip -0.0512832 1.10049 0.0667186 0.742455 0.647938 0.0678578 0.155988 1.06792
lHand -0.0305724 1.583 -1.02548 0.235877 -0.0498457 -0.631761 0.736719 1.06792
lForeArm -0.0864068 1.59215 -0.676924 0.268422 0.64436 -0.494623 0.517782 1.06792
rHand 0.0803235 1.49615 0.811353 -0.584816 -0.773367 0.193621 0.149684 1.06792
rForeArm -0.0184314 1.5397 0.442583 0.576796 0.488436 -0.393001 0.523725 1.06792
lFoot -0.0839983 0.0703201 -0.243887 0.111995 0.134964 -0.841261 0.511391 1.06792
rFoot -0.0870032 0.0447928 0.0158112 0.841123 0.529386 -0.00203165 0.110718 1.06792
head 0.082267 1.74435 -0.0935056 0.0283878 -0.676096 0.0215747 0.73595 1.06792
hip -0.0512949 1.10051 0.0668001 0.742439 0.647984 0.0678847 0.15586 1.06792
lHand -0.0310235 1.58258 -1.02545 0.234643 -0.0495902 -0.632014 0.736914 1.06792
lForeArm -0.0864784 1.5921 -0.676763 0.267914 0.644402 -0.494872 0.517755 1.06792
